update,mean_return,success_rate
0,-6.174,0.0
1,-3.459,0.0
2,2.372,0.0
3,2.539,0.0
4,6.525,0.0
5,3.008,0.0
6,12.376,0.25
7,3.841,0.077
8,13.508,0.286
9,15.74,0.375
10,18.899,0.5
11,7.034,0.222
12,7.597,0.235
13,9.381,0.235
14,25.13,0.722
15,16.375,0.474
16,16.766,0.45
17,25.417,0.7
18,24.918,0.714
19,27.625,0.818
20,29.777,0.864
21,20.632,0.55
22,28.691,0.8
23,30.251,0.885
24,31.101,0.926
25,29.379,0.852
26,31.556,0.893
27,27.476,0.786
28,30.641,0.897
29,30.923,0.906
30,33.911,1.0
31,33.673,0.97
32,33.361,0.971
33,32.512,0.944
34,32.138,0.943
35,33.041,0.972
36,33.231,0.973
37,31.658,0.923
38,33.314,0.974
39,34.358,1.0
40,33.697,0.976
41,33.373,0.975
42,34.346,1.0
43,33.652,0.976
44,32.961,0.952
45,30.753,0.905
46,32.724,0.951
47,32.181,0.927
48,34.242,1.0
49,31.886,0.935
50,33.733,0.977
51,33.557,0.978
52,33.753,0.978
53,34.289,1.0
54,33.566,0.978
55,34.392,1.0
56,33.841,0.979
57,33.903,0.979
58,34.486,1.0
59,33.866,0.979
60,33.54,0.979
61,34.538,1.0
62,33.672,0.979
63,34.534,1.0
64,34.627,1.0
65,33.93,0.98
66,32.861,0.959
67,34.497,1.0
68,34.582,1.0
69,34.373,1.0
70,33.929,0.98
71,34.482,1.0
72,32.893,0.96
73,33.849,0.98
74,33.773,0.98
75,33.83,0.98
76,32.945,0.959
77,34.503,1.0
78,34.517,1.0
79,33.809,0.98
80,33.845,0.98
